action_name,timestamp,thread_name
addBranch,2026-05-27T17:39:04.039593,main
addBranch,2026-05-27T17:39:04.044490,main
addCustomer,2026-05-27T17:39:04.045375,main
addCustomer,2026-05-27T17:39:04.045983,main
openCurrentAccount,2026-05-27T17:39:04.046632,main
openSavingsAccount,2026-05-27T17:39:04.047226,main
openCurrentAccount,2026-05-27T17:39:04.047767,main
issueDebitCard,2026-05-27T17:39:04.050140,main
issueCreditCard,2026-05-27T17:39:04.051007,main
deposit,2026-05-27T17:39:04.052643,main
withdraw,2026-05-27T17:39:04.053842,main
transfer,2026-05-27T17:39:04.054666,main
payWithCard,2026-05-27T17:39:04.056286,main
applyInterestToSavingsAccount,2026-05-27T17:39:04.057476,main
blockCard,2026-05-27T17:39:04.058169,main
getCustomerAccounts,2026-05-27T17:39:04.058680,main
getAllAccountsSorted,2026-05-27T17:39:04.059005,main
getCustomerAccountReports,2026-05-27T17:39:04.059442,main
getCardReports,2026-05-27T17:39:04.059821,main
getTransactionReports,2026-05-27T17:39:04.060170,main
generateStatement,2026-05-27T17:39:04.065640,main
getTotalBankBalance,2026-05-27T17:39:04.069028,main
addBranch,2026-05-27T17:39:41.213405,main
addBranch,2026-05-27T17:39:41.218587,main
addCustomer,2026-05-27T17:39:41.219529,main
addCustomer,2026-05-27T17:39:41.220376,main
openCurrentAccount,2026-05-27T17:39:41.221175,main
openSavingsAccount,2026-05-27T17:39:41.221855,main
openCurrentAccount,2026-05-27T17:39:41.222489,main
issueDebitCard,2026-05-27T17:39:41.224830,main
issueCreditCard,2026-05-27T17:39:41.225702,main
deposit,2026-05-27T17:39:41.227858,main
withdraw,2026-05-27T17:39:41.229306,main
transfer,2026-05-27T17:39:41.230322,main
payWithCard,2026-05-27T17:39:41.232217,main
applyInterestToSavingsAccount,2026-05-27T17:39:41.233354,main
blockCard,2026-05-27T17:39:41.233987,main
getCustomerAccounts,2026-05-27T17:39:41.234507,main
getAllAccountsSorted,2026-05-27T17:39:41.234852,main
getCustomerAccountReports,2026-05-27T17:39:41.235294,main
getCardReports,2026-05-27T17:39:41.235652,main
getTransactionReports,2026-05-27T17:39:41.235996,main
generateStatement,2026-05-27T17:39:41.240211,main
getTotalBankBalance,2026-05-27T17:39:41.243225,main
addBranch,2026-05-27T17:58:41.528865,main
addBranch,2026-05-27T17:58:41.534340,main
addCustomer,2026-05-27T17:58:41.535145,main
addCustomer,2026-05-27T17:58:41.535812,main
openCurrentAccount,2026-05-27T17:58:41.536547,main
openSavingsAccount,2026-05-27T17:58:41.537239,main
openCurrentAccount,2026-05-27T17:58:41.537912,main
issueDebitCard,2026-05-27T17:58:41.540241,main
issueCreditCard,2026-05-27T17:58:41.541010,main
deposit,2026-05-27T17:58:41.542761,main
withdraw,2026-05-27T17:58:41.544006,main
transfer,2026-05-27T17:58:41.544934,main
payWithCard,2026-05-27T17:58:41.547079,main
applyInterestToSavingsAccount,2026-05-27T17:58:41.548580,main
blockCard,2026-05-27T17:58:41.549374,main
getCustomerAccounts,2026-05-27T17:58:41.549979,main
getAllAccountsSorted,2026-05-27T17:58:41.550337,main
getCustomerAccountReports,2026-05-27T17:58:41.550813,main
getCardReports,2026-05-27T17:58:41.551200,main
getTransactionReports,2026-05-27T17:58:41.551582,main
generateStatement,2026-05-27T17:58:41.556253,main
getTotalBankBalance,2026-05-27T17:58:41.559929,main
addBranch,2026-05-27T18:08:08.824131,main
addBranch,2026-05-27T18:08:08.831080,main
addCustomer,2026-05-27T18:08:08.832047,main
addCustomer,2026-05-27T18:08:08.832696,main
openCurrentAccount,2026-05-27T18:08:08.833381,main
openSavingsAccount,2026-05-27T18:08:08.833938,main
openCurrentAccount,2026-05-27T18:08:08.834599,main
issueDebitCard,2026-05-27T18:08:08.837678,main
issueCreditCard,2026-05-27T18:08:08.838480,main
deposit,2026-05-27T18:08:08.840375,main
withdraw,2026-05-27T18:08:08.841785,main
transfer,2026-05-27T18:08:08.842954,main
payWithCard,2026-05-27T18:08:08.845454,main
applyInterestToSavingsAccount,2026-05-27T18:08:08.846889,main
blockCard,2026-05-27T18:08:08.847668,main
getCustomerAccounts,2026-05-27T18:08:08.848298,main
getAllAccountsSorted,2026-05-27T18:08:08.848663,main
getCustomerAccountReports,2026-05-27T18:08:08.849217,main
getCardReports,2026-05-27T18:08:08.849633,main
getTransactionReports,2026-05-27T18:08:08.850071,main
generateStatement,2026-05-27T18:08:08.855703,main
getTotalBankBalance,2026-05-27T18:08:08.859547,main
addBranch,2026-05-29T19:16:54.596060,main
addBranch,2026-05-29T19:16:54.602079,main
addCustomer,2026-05-29T19:16:54.602989,main
addCustomer,2026-05-29T19:16:54.603678,main
openCurrentAccount,2026-05-29T19:16:54.604712,main
openSavingsAccount,2026-05-29T19:16:54.605367,main
openCurrentAccount,2026-05-29T19:16:54.605986,main
